BBoW----alpha:0.0001,  F1_train: 0.7913623590092731,  F1_valid: 0.3342684884698385 
BBoW----alpha:0.001,  F1_train: 0.7848232083669805,  F1_valid: 0.3577699545850232 
BBoW----alpha:0.002,  F1_train: 0.7816064001267711,  F1_valid: 0.36014365009756233 
BBoW----alpha:0.003,  F1_train: 0.779424995491092,  F1_valid: 0.36328782357848977 
BBoW----alpha:0.004,  F1_train: 0.7780436311699405,  F1_valid: 0.37185227307442653 
BBoW----alpha:0.005,  F1_train: 0.7770036545680943,  F1_valid: 0.3752693102868807 
BBoW----alpha:0.006,  F1_train: 0.7756761352138442,  F1_valid: 0.376461283228757 
BBoW----alpha:0.007,  F1_train: 0.7734679454609646,  F1_valid: 0.37804555182992194 
BBoW----alpha:0.008,  F1_train: 0.772313747740285,  F1_valid: 0.37819556762594175 
BBoW----alpha:0.009,  F1_train: 0.7713498093412052,  F1_valid: 0.3769282700440043 
BBoW----alpha:0.01,  F1_train: 0.7703866381707726,  F1_valid: 0.37643923150496417 
BBoW----alpha:0.02,  F1_train: 0.761571272639455,  F1_valid: 0.3766558313116145 
BBoW----alpha:0.05,  F1_train: 0.7418579576730264,  F1_valid: 0.37381791226147915 
BBoW----alpha:0.1,  F1_train: 0.7240268979662136,  F1_valid: 0.3712865662824939 
